date,maximum temerature,minimum temperature,average temperature,precipitation,snow fall,snow depth
01-01-16,44,34,39,0,0,0
02-01-16,40,30,35,0,0,0
03-01-16,46,33,39.5,0,0,0
04-01-16,35,13,24,0,0,0
05-01-16,29,10,19.5,0,0,0
06-01-16,41,16,28.5,0,0,0
07-01-16,43,20,31.5,0,0,0
08-01-16,46,29,37.5,0,0,0
09-01-16,47,37,42,0,0,0
10-01-16,60,42,51,1.23,0,0
11-01-16,42,26,34,0,0,0
12-01-16,44,22,33,0.01,T,0
13-01-16,31,24,27.5,0,0,0
14-01-16,36,22,29,T,0.1,0
15-01-16,46,30,38,T,0,0
16-01-16,52,39,45.5,0.27,0,0
17-01-16,43,28,35.5,0.04,0.7,0
18-01-16,30,20,25,T,T,1
19-01-16,30,19,24.5,0,0,T
20-01-16,40,25,32.5,0,0,0
21-01-16,38,24,31,0,0,0
22-01-16,30,18,24,0,0,0
23-01-16,30,25,27.5,0.69,9.5,T
24-01-16,36,18,27,0.02,T,10
25-01-16,37,22,29.5,0,0,9
26-01-16,45,23,34,T,0,8
27-01-16,46,28,37,T,0,5
28-01-16,43,24,33.5,0,0,2
29-01-16,43,31,37,T,0,2
30-01-16,40,26,33,0,0,1
31-01-16,50,35,42.5,0,0,1
01-02-16,60,33,46.5,T,0,1
02-02-16,51,31,41,0,0,T
03-02-16,56,33,44.5,1.24,0,T
04-02-16,54,42,48,0.02,0,0
05-02-16,43,21,32,0.8,8,2
06-02-16,39,16,27.5,0,0,7
07-02-16,44,23,33.5,0,0,5
08-02-16,38,26,32,0.37,3.7,3
09-02-16,32,21,26.5,0.01,T,6
10-02-16,40,26,33,0.03,0.5,5
11-02-16,33,16,24.5,T,T,4
12-02-16,26,10,18,0,0,4
13-02-16,25,3,14,T,T,3
14-02-16,14,-6,4,0,0,3
15-02-16,32,6,19,0.52,1.7,0
16-02-16,55,32,43.5,0.31,0,T
17-02-16,40,32,36,0,0,T
18-02-16,36,25,30.5,0,0,0
19-02-16,39,20,29.5,0,0,0
20-02-16,52,39,45.5,0,0,0
21-02-16,56,38,47,0.05,0,0
22-02-16,49,35,42,0,0,0
23-02-16,39,34,36.5,0.16,T,0
24-02-16,60,36,48,1.05,0,0
25-02-16,61,39,50,0.27,0,0
26-02-16,40,25,32.5,0,0,0
27-02-16,40,23,31.5,0,0,0
28-02-16,55,36,45.5,0,0,0
29-02-16,58,39,48.5,0.07,0,0
01-03-16,46,36,41,0.15,0,0
02-03-16,52,28,40,0.18,0,0
03-03-16,35,24,29.5,0,0,0
04-03-16,38,28,33,0.01,0.3,T
05-03-16,38,26,32,0,0,0
06-03-16,42,31,36.5,0,0,0
07-03-16,50,28,39,0,0,0
08-03-16,54,36,45,0,0,0
09-03-16,60,38,49,0,0,0
10-03-16,68,51,59.5,T,0,0
11-03-16,65,45,55,0.05,0,0
12-03-16,53,35,44,0,0,0
13-03-16,63,43,53,0,0,0
14-03-16,48,42,45,0.89,0,0
15-03-16,56,43,49.5,0.04,0,0
16-03-16,59,41,50,0.06,0,0
17-03-16,60,41,50.5,T,0,0
18-03-16,56,40,48,0,0,0
19-03-16,45,32,38.5,0,0,0
20-03-16,41,30,35.5,0.04,T,0
21-03-16,51,32,41.5,0.15,2,2
22-03-16,52,33,42.5,0,0,0
23-03-16,63,43,53,0,0,0
24-03-16,48,42,45,0,0,0
25-03-16,63,41,52,0.01,0,0
26-03-16,49,36,42.5,0,0,0
27-03-16,47,41,44,T,0,0
28-03-16,57,42,49.5,0.57,0,0
29-03-16,55,40,47.5,0,0,0
30-03-16,52,32,42,0,0,0
31-03-16,65,41,53,0.02,0,0
01-04-16,62,53,57.5,0.13,0,0
02-04-16,56,43,49.5,0.29,0,0
03-04-16,44,34,39,0.51,T,0
04-04-16,40,29,34.5,0.53,0.1,0
05-04-16,40,26,33,0,0,0
06-04-16,46,26,36,0,0,0
07-04-16,57,46,51.5,0.25,0,0
08-04-16,52,37,44.5,T,0,0
09-04-16,45,31,38,T,0,0
10-04-16,50,31,40.5,0,0,0
11-04-16,58,45,51.5,0.02,0,0
12-04-16,58,40,49,0.27,0,0
13-04-16,54,31,42.5,0,0,0
14-04-16,56,38,47,0,0,0
15-04-16,59,38,48.5,0,0,0
16-04-16,67,40,53.5,0,0,0
17-04-16,67,40,53.5,0,0,0
18-04-16,74,43,58.5,0,0,0
19-04-16,68,48,58,0,0,0
20-04-16,63,47,55,0,0,0
